person,start,stop,formatted
76,6,60,00:00:06 to 00:01:00
195,67,366,00:01:07 to 00:06:06
70,373,837,00:06:13 to 00:13:57
70,844,943,00:14:04 to 00:15:43
373,959,1477,00:15:59 to 00:24:37
114,1512,1529,00:25:12 to 00:25:29
70,1533,1664,00:25:33 to 00:27:44
155,1671,1695,00:27:51 to 00:28:15
70,1707,1772,00:28:27 to 00:29:32
343,1773,1790,00:29:33 to 00:29:50
343,1796,1839,00:29:56 to 00:30:39
136,1852,1866,00:30:52 to 00:31:06
70,1870,1971,00:31:10 to 00:32:51
373,1987,2094,00:33:07 to 00:34:54
59,2100,2114,00:35:00 to 00:35:14
70,2114,2162,00:35:14 to 00:36:02
187,2172,2189,00:36:12 to 00:36:29
117,2172,2190,00:36:12 to 00:36:30
70,2191,2251,00:36:31 to 00:37:31
229,2259,2269,00:37:39 to 00:37:49
117,2288,2304,00:38:08 to 00:38:24
70,2310,2383,00:38:30 to 00:39:43
195,2391,2464,00:39:51 to 00:41:04
195,2475,2530,00:41:15 to 00:42:10
306,2538,2552,00:42:18 to 00:42:32
195,2553,2600,00:42:33 to 00:43:20
306,2604,2631,00:43:24 to 00:43:51
70,2633,2674,00:43:53 to 00:44:34
51,2680,2730,00:44:40 to 00:45:30
70,2734,2779,00:45:34 to 00:46:19
151,2801,2813,00:46:41 to 00:46:53
70,2813,2874,00:46:53 to 00:47:54
247,2884,2927,00:48:04 to 00:48:47
70,2930,3058,00:48:50 to 00:50:58
62,3064,3087,00:51:04 to 00:51:27
70,3088,3170,00:51:28 to 00:52:50
343,3177,3189,00:52:57 to 00:53:09
46,3260,3342,00:54:20 to 00:55:42
73,3292,3320,00:54:52 to 00:55:20
73,3331,3342,00:55:31 to 00:55:42
195,3346,3367,00:55:46 to 00:56:07
195,3382,3404,00:56:22 to 00:56:44
70,3412,3431,00:56:52 to 00:57:11
113,3437,3456,00:57:17 to 00:57:36
70,3457,3540,00:57:37 to 00:59:00
163,3594,3619,00:59:54 to 01:00:19
373,3621,3691,01:00:21 to 01:01:31
349,3704,3722,01:01:44 to 01:02:02
195,3726,3799,01:02:06 to 01:03:19
300,3805,3822,01:03:25 to 01:03:42
33,3832,3849,01:03:52 to 01:04:09
187,3860,3879,01:04:20 to 01:04:39
117,3861,3879,01:04:21 to 01:04:39
195,3880,4014,01:04:40 to 01:06:54
70,4023,4089,01:07:03 to 01:08:09
18,4095,4112,01:08:15 to 01:08:32
70,4136,4152,01:08:56 to 01:09:12
229,4159,4183,01:09:19 to 01:09:43
70,4189,4313,01:09:49 to 01:11:53
306,4320,4367,01:12:00 to 01:12:47
70,4374,4442,01:12:54 to 01:14:02
76,4463,4523,01:14:23 to 01:15:23
114,4593,4625,01:16:33 to 01:17:05
70,4629,4732,01:17:09 to 01:18:52
117,4739,4756,01:18:59 to 01:19:16
373,4760,4788,01:19:20 to 01:19:48
373,4793,4836,01:19:53 to 01:20:36
116,4843,4855,01:20:43 to 01:20:55
195,4860,4946,01:21:00 to 01:22:26
216,4955,4970,01:22:35 to 01:22:50
136,4956,4970,01:22:36 to 01:22:50
70,4971,5022,01:22:51 to 01:23:42
136,5033,5049,01:23:53 to 01:24:09
70,5052,5134,01:24:12 to 01:25:34
51,5140,5182,01:25:40 to 01:26:22
373,5186,5257,01:26:26 to 01:27:37
62,5261,5280,01:27:41 to 01:28:00
70,5283,5342,01:28:03 to 01:29:02
113,5347,5376,01:29:07 to 01:29:36
373,5385,5444,01:29:45 to 01:30:44
70,5469,5496,01:31:09 to 01:31:36
70,5505,5584,01:31:45 to 01:33:04
