person,start,stop,formatted
340,4,29,00:00:04 to 00:00:29
340,42,57,00:00:42 to 00:00:57
343,68,79,00:01:08 to 00:01:19
343,85,99,00:01:25 to 00:01:39
343,105,131,00:01:45 to 00:02:11
343,137,203,00:02:17 to 00:03:23
310,219,573,00:03:39 to 00:09:33
307,590,875,00:09:50 to 00:14:35
296,889,1088,00:14:49 to 00:18:08
296,1099,1123,00:18:19 to 00:18:43
296,1129,1465,00:18:49 to 00:24:25
310,1490,1626,00:24:50 to 00:27:06
343,1633,1649,00:27:13 to 00:27:29
112,1660,1705,00:27:40 to 00:28:25
343,1707,1756,00:28:27 to 00:29:16
61,1817,1828,00:30:17 to 00:30:28
296,1829,1884,00:30:29 to 00:31:24
310,1905,1930,00:31:45 to 00:32:10
117,1938,1962,00:32:18 to 00:32:42
296,1965,2078,00:32:45 to 00:34:38
343,2104,2119,00:35:04 to 00:35:19
310,2143,2200,00:35:43 to 00:36:40
343,2226,2285,00:37:06 to 00:38:05
211,2296,2311,00:38:16 to 00:38:31
343,2314,2396,00:38:34 to 00:39:56
343,2415,2455,00:40:15 to 00:40:55
343,2492,2528,00:41:32 to 00:42:08
343,2548,2582,00:42:28 to 00:43:02
116,2591,2604,00:43:11 to 00:43:24
310,2606,2635,00:43:26 to 00:43:55
136,2643,2670,00:44:03 to 00:44:30
343,2671,2725,00:44:31 to 00:45:25
307,2735,2797,00:45:35 to 00:46:37
296,2836,2864,00:47:16 to 00:47:44
349,2878,2899,00:47:58 to 00:48:19
310,2900,2965,00:48:20 to 00:49:25
307,3000,3025,00:50:00 to 00:50:25
296,3036,3111,00:50:36 to 00:51:51
198,3119,3137,00:51:59 to 00:52:17
343,3138,3152,00:52:18 to 00:52:32
61,3161,3200,00:52:41 to 00:53:20
310,3203,3285,00:53:23 to 00:54:45
62,3292,3332,00:54:52 to 00:55:32
296,3333,3422,00:55:33 to 00:57:02
219,3522,3535,00:58:42 to 00:58:55
310,3552,3646,00:59:12 to 01:00:46
343,3674,3713,01:01:14 to 01:01:53
310,3849,3870,01:04:09 to 01:04:30
112,3878,3899,01:04:38 to 01:04:59
343,3904,3924,01:05:04 to 01:05:24
198,3931,3952,01:05:31 to 01:05:52
310,3953,4003,01:05:53 to 01:06:43
343,4029,4057,01:07:09 to 01:07:37
219,4066,4099,01:07:46 to 01:08:19
343,4100,4151,01:08:20 to 01:09:11
310,4156,4168,01:09:16 to 01:09:28
117,4174,4194,01:09:34 to 01:09:54
296,4195,4238,01:09:55 to 01:10:38
307,4248,4292,01:10:48 to 01:11:32
343,4302,4321,01:11:42 to 01:12:01
343,4357,4406,01:12:37 to 01:13:26
112,4416,4460,01:13:36 to 01:14:20
296,4461,4591,01:14:21 to 01:16:31
61,4597,4609,01:16:37 to 01:16:49
310,4610,4637,01:16:50 to 01:17:17
343,4699,4765,01:18:19 to 01:19:25
343,4776,4793,01:19:36 to 01:19:53
113,4802,4813,01:20:02 to 01:20:13
296,4814,4838,01:20:14 to 01:20:38
136,4847,4865,01:20:47 to 01:21:05
310,4867,4901,01:21:07 to 01:21:41
310,4909,5011,01:21:49 to 01:23:31
343,5038,5065,01:23:58 to 01:24:25
310,5096,5124,01:24:56 to 01:25:24
62,5204,5238,01:26:44 to 01:27:18
296,5239,5357,01:27:19 to 01:29:17
136,5367,5394,01:29:27 to 01:29:54
310,5395,5496,01:29:55 to 01:31:36
117,5504,5531,01:31:44 to 01:32:11
310,5535,5615,01:32:15 to 01:33:35
310,5621,5640,01:33:41 to 01:34:00
343,5647,5724,01:34:07 to 01:35:24
