person,start,stop,formatted
76,1,24,00:00:01 to 00:00:24
76,33,65,00:00:33 to 00:01:05
70,54,629,00:00:54 to 00:10:29
70,635,893,00:10:35 to 00:14:53
343,907,1000,00:15:07 to 00:16:40
343,1006,1093,00:16:46 to 00:18:13
343,1130,1315,00:18:50 to 00:21:55
70,1317,1394,00:21:57 to 00:23:14
163,1395,1411,00:23:15 to 00:23:31
343,1417,1439,00:23:37 to 00:23:59
70,1457,1545,00:24:17 to 00:25:45
112,1586,1631,00:26:26 to 00:27:11
70,1632,1678,00:27:12 to 00:27:58
70,1753,1845,00:29:13 to 00:30:45
343,1853,1928,00:30:53 to 00:32:08
151,1937,1951,00:32:17 to 00:32:31
70,1952,2046,00:32:32 to 00:34:06
219,2047,2060,00:34:07 to 00:34:20
343,2066,2095,00:34:26 to 00:34:55
70,2103,2183,00:35:03 to 00:36:23
36,2190,2206,00:36:30 to 00:36:46
70,2207,2347,00:36:47 to 00:39:07
247,2356,2373,00:39:16 to 00:39:33
70,2374,2411,00:39:34 to 00:40:11
343,2412,2455,00:40:12 to 00:40:55
246,2463,2520,00:41:03 to 00:42:00
70,2521,2697,00:42:01 to 00:44:57
343,2705,2789,00:45:05 to 00:46:29
343,2805,2843,00:46:45 to 00:47:23
38,2850,2872,00:47:30 to 00:47:52
343,2876,2913,00:47:56 to 00:48:33
70,2921,2969,00:48:41 to 00:49:29
229,2971,2993,00:49:31 to 00:49:53
343,3001,3067,00:50:01 to 00:51:07
343,3099,3167,00:51:39 to 00:52:47
343,3172,3184,00:52:52 to 00:53:04
12,3192,3206,00:53:12 to 00:53:26
343,3209,3254,00:53:29 to 00:54:14
343,3271,3305,00:54:31 to 00:55:05
70,3305,3388,00:55:05 to 00:56:28
41,3390,3404,00:56:30 to 00:56:44
343,3406,3449,00:56:46 to 00:57:29
61,3457,3468,00:57:37 to 00:57:48
343,3472,3490,00:57:52 to 00:58:10
10,3495,3505,00:58:15 to 00:58:25
343,3511,3561,00:58:31 to 00:59:21
70,3567,3644,00:59:27 to 01:00:44
112,3649,3666,01:00:49 to 01:01:06
343,3667,3729,01:01:07 to 01:02:09
70,3723,3739,01:02:03 to 01:02:19
76,3723,3753,01:02:03 to 01:02:33
