person,start,stop,formatted
340,24,36,00:00:24 to 00:00:36
169,55,255,00:00:55 to 00:04:15
169,263,366,00:04:23 to 00:06:06
190,374,841,00:06:14 to 00:14:01
307,847,1215,00:14:07 to 00:20:15
87,1221,1247,00:20:21 to 00:20:47
87,1455,1466,00:24:15 to 00:24:26
36,1660,1678,00:27:40 to 00:27:58
169,1685,1737,00:28:05 to 00:28:57
351,1748,1767,00:29:08 to 00:29:27
169,1768,1816,00:29:28 to 00:30:16
190,1817,1841,00:30:17 to 00:30:41
150,1819,1841,00:30:19 to 00:30:41
169,2055,2094,00:34:15 to 00:34:54
246,2100,2122,00:35:00 to 00:35:22
169,2123,2179,00:35:23 to 00:36:19
169,2198,2213,00:36:38 to 00:36:53
18,2218,2233,00:36:58 to 00:37:13
169,2234,2273,00:37:14 to 00:37:53
349,2279,2300,00:37:59 to 00:38:20
169,2302,2345,00:38:22 to 00:39:05
169,2357,2388,00:39:17 to 00:39:48
169,2447,2528,00:40:47 to 00:42:08
169,2566,2590,00:42:46 to 00:43:10
229,2601,2615,00:43:21 to 00:43:35
36,2849,2866,00:47:29 to 00:47:46
169,2867,2913,00:47:47 to 00:48:33
190,2932,2959,00:48:52 to 00:49:19
190,2979,3100,00:49:39 to 00:51:40
246,3101,3129,00:51:41 to 00:52:09
169,3131,3162,00:52:11 to 00:52:42
349,3174,3186,00:52:54 to 00:53:06
169,3189,3230,00:53:09 to 00:53:50
349,3230,3253,00:53:50 to 00:54:13
169,3254,3270,00:54:14 to 00:54:30
190,3272,3322,00:54:32 to 00:55:22
136,3373,3385,00:56:13 to 00:56:25
87,3386,3449,00:56:26 to 00:57:29
229,3454,3468,00:57:34 to 00:57:48
169,3469,3486,00:57:49 to 00:58:06
229,3539,3570,00:58:59 to 00:59:30
