person,start,stop,formatted
76,19,60,00:00:19 to 00:01:00
76,68,79,00:01:08 to 00:01:19
195,87,543,00:01:27 to 00:09:03
70,551,1390,00:09:11 to 00:23:10
371,1397,2011,00:23:17 to 00:33:31
349,2047,2058,00:34:07 to 00:34:18
70,2062,2162,00:34:22 to 00:36:02
70,2197,2257,00:36:37 to 00:37:37
213,2262,2281,00:37:42 to 00:38:01
195,2286,2346,00:38:06 to 00:39:06
306,2354,2382,00:39:14 to 00:39:42
70,2387,2473,00:39:47 to 00:41:13
70,2492,2555,00:41:32 to 00:42:35
70,2563,2616,00:42:43 to 00:43:36
246,2621,2642,00:43:41 to 00:44:02
70,2648,2697,00:44:08 to 00:44:57
343,2707,2722,00:45:07 to 00:45:22
343,2729,2745,00:45:29 to 00:45:45
343,2820,2833,00:47:00 to 00:47:13
343,2876,2894,00:47:56 to 00:48:14
187,2901,2919,00:48:21 to 00:48:39
70,2922,3051,00:48:42 to 00:50:51
343,3074,3086,00:51:14 to 00:51:26
113,3112,3125,00:51:52 to 00:52:05
371,3129,3177,00:52:09 to 00:52:57
195,3285,3388,00:54:45 to 00:56:28
343,3410,3426,00:56:50 to 00:57:06
93,3434,3464,00:57:14 to 00:57:44
195,3468,3588,00:57:48 to 00:59:48
371,3595,3648,00:59:55 to 01:00:48
70,3682,3737,01:01:22 to 01:02:17
247,3753,3786,01:02:33 to 01:03:06
195,3790,3947,01:03:10 to 01:05:47
16,3955,3967,01:05:55 to 01:06:07
70,3971,3994,01:06:11 to 01:06:34
195,4079,4194,01:07:59 to 01:09:54
160,4318,4337,01:11:58 to 01:12:17
195,4341,4419,01:12:21 to 01:13:39
195,4425,4533,01:13:45 to 01:15:33
24,4541,4558,01:15:41 to 01:15:58
195,4562,4575,01:16:02 to 01:16:15
70,4582,4601,01:16:22 to 01:16:41
61,4607,4624,01:16:47 to 01:17:04
195,4625,4694,01:17:05 to 01:18:14
195,4700,4752,01:18:20 to 01:19:12
