person,start,stop,formatted
76,4,42,00:00:04 to 00:00:42
70,57,802,00:00:57 to 00:13:22
161,831,1525,00:13:51 to 00:25:25
103,1531,1957,00:25:31 to 00:32:37
163,1972,2017,00:32:52 to 00:33:37
70,2023,2066,00:33:43 to 00:34:26
70,2074,2194,00:34:34 to 00:36:34
306,2262,2297,00:37:42 to 00:38:17
161,2300,2336,00:38:20 to 00:38:56
291,2339,2381,00:38:59 to 00:39:41
49,2499,2512,00:41:39 to 00:41:52
70,2513,2552,00:41:53 to 00:42:32
70,2558,2604,00:42:38 to 00:43:24
62,2612,2626,00:43:32 to 00:43:46
70,2627,2742,00:43:47 to 00:45:42
112,2752,2783,00:45:52 to 00:46:23
70,2784,2917,00:46:24 to 00:48:37
70,2951,3003,00:49:11 to 00:50:03
208,3012,3053,00:50:12 to 00:50:53
161,3056,3124,00:50:56 to 00:52:04
70,3127,3227,00:52:07 to 00:53:47
204,3235,3264,00:53:55 to 00:54:24
70,3267,3342,00:54:27 to 00:55:42
161,3350,3390,00:55:50 to 00:56:30
349,3398,3433,00:56:38 to 00:57:13
343,3448,3475,00:57:28 to 00:57:55
213,3482,3492,00:58:02 to 00:58:12
161,3497,3511,00:58:17 to 00:58:31
51,3520,3555,00:58:40 to 00:59:15
70,3560,3578,00:59:20 to 00:59:38
247,3588,3618,00:59:48 to 01:00:18
103,3619,3658,01:00:19 to 01:00:58
247,3662,3701,01:01:02 to 01:01:41
160,3732,3748,01:02:12 to 01:02:28
70,3752,3803,01:02:32 to 01:03:23
116,3812,3831,01:03:32 to 01:03:51
70,3831,3868,01:03:51 to 01:04:28
258,3875,3888,01:04:35 to 01:04:48
70,3889,3964,01:04:49 to 01:06:04
160,3974,3990,01:06:14 to 01:06:30
70,3994,4057,01:06:34 to 01:07:37
70,4065,4111,01:07:45 to 01:08:31
306,4119,4166,01:08:39 to 01:09:26
70,4171,4295,01:09:31 to 01:11:35
59,4301,4320,01:11:41 to 01:12:00
70,4321,4399,01:12:01 to 01:13:19
204,4406,4429,01:13:26 to 01:13:49
103,4430,4495,01:13:50 to 01:14:55
163,4502,4522,01:15:02 to 01:15:22
103,4526,4566,01:15:26 to 01:16:06
49,4575,4589,01:16:15 to 01:16:29
70,4590,4666,01:16:30 to 01:17:46
213,4674,4692,01:17:54 to 01:18:12
70,4693,4755,01:18:13 to 01:19:15
213,4756,4775,01:19:16 to 01:19:35
70,4775,4844,01:19:35 to 01:20:44
112,4852,4888,01:20:52 to 01:21:28
161,4892,4923,01:21:32 to 01:22:03
208,4930,4971,01:22:10 to 01:22:51
103,4975,5123,01:22:55 to 01:25:23
151,5134,5156,01:25:34 to 01:25:56
70,5156,5197,01:25:56 to 01:26:37
113,5204,5223,01:26:44 to 01:27:03
103,5227,5341,01:27:07 to 01:29:01
103,5349,5499,01:29:09 to 01:31:39
63,5506,5539,01:31:46 to 01:32:19
161,5540,5580,01:32:20 to 01:33:00
52,5585,5622,01:33:05 to 01:33:42
51,5656,5712,01:34:16 to 01:35:12
70,5713,5849,01:35:13 to 01:37:29
258,5935,5947,01:38:55 to 01:39:07
103,5959,5989,01:39:19 to 01:39:49
247,5996,6020,01:39:56 to 01:40:20
70,6023,6100,01:40:23 to 01:41:40
247,6103,6138,01:41:43 to 01:42:18
103,6141,6256,01:42:21 to 01:44:16
204,6263,6286,01:44:23 to 01:44:46
70,6292,6358,01:44:52 to 01:45:58
49,6365,6383,01:46:05 to 01:46:23
