person,start,stop,formatted
340,18,68,00:00:18 to 00:01:08
343,71,82,00:01:11 to 00:01:22
343,88,288,00:01:28 to 00:04:48
343,297,387,00:04:57 to 00:06:27
318,395,627,00:06:35 to 00:10:27
318,641,810,00:10:41 to 00:13:30
337,822,893,00:13:42 to 00:14:53
337,908,1022,00:15:08 to 00:17:02
336,932,951,00:15:32 to 00:15:51
337,1032,1042,00:17:12 to 00:17:22
337,1051,1128,00:17:31 to 00:18:48
337,1137,1195,00:18:57 to 00:19:55
170,1207,1401,00:20:07 to 00:23:21
306,1626,1642,00:27:06 to 00:27:22
343,1643,1661,00:27:23 to 00:27:41
343,1689,1715,00:28:09 to 00:28:35
205,1725,1736,00:28:45 to 00:28:56
343,1747,1759,00:29:07 to 00:29:19
343,1766,1784,00:29:26 to 00:29:44
343,1792,1811,00:29:52 to 00:30:11
160,1838,1852,00:30:38 to 00:30:52
343,1852,1887,00:30:52 to 00:31:27
170,1907,1940,00:31:47 to 00:32:20
160,1949,1966,00:32:29 to 00:32:46
343,1966,2010,00:32:46 to 00:33:30
349,2049,2061,00:34:09 to 00:34:21
84,2082,2106,00:34:42 to 00:35:06
302,2196,2207,00:36:36 to 00:36:47
63,2246,2261,00:37:26 to 00:37:41
336,2263,2293,00:37:43 to 00:38:13
306,2303,2341,00:38:23 to 00:39:01
146,2558,2568,00:42:38 to 00:42:48
147,2569,2608,00:42:49 to 00:43:28
343,2611,2643,00:43:31 to 00:44:03
170,2647,2728,00:44:07 to 00:45:28
38,2744,2755,00:45:44 to 00:45:55
204,2871,2882,00:47:51 to 00:48:02
160,2967,3011,00:49:27 to 00:50:11
343,3085,3123,00:51:25 to 00:52:03
306,3132,3147,00:52:12 to 00:52:27
343,3163,3218,00:52:43 to 00:53:38
202,3229,3253,00:53:49 to 00:54:13
343,3253,3352,00:54:13 to 00:55:52
318,3372,3421,00:56:12 to 00:57:01
318,3430,3441,00:57:10 to 00:57:21
318,3456,3470,00:57:36 to 00:57:50
306,3474,3507,00:57:54 to 00:58:27
318,3508,3534,00:58:28 to 00:58:54
349,3544,3561,00:59:04 to 00:59:21
307,3584,3620,00:59:44 to 01:00:20
307,3627,3643,01:00:27 to 01:00:43
205,3652,3662,01:00:52 to 01:01:02
318,3723,3737,01:02:03 to 01:02:17
204,3744,3756,01:02:24 to 01:02:36
167,3763,3840,01:02:43 to 01:04:00
202,3847,3857,01:04:07 to 01:04:17
34,3864,3883,01:04:24 to 01:04:43
283,3940,3956,01:05:40 to 01:05:56
283,3971,3985,01:06:11 to 01:06:25
34,4002,4019,01:06:42 to 01:06:59
343,4152,4199,01:09:12 to 01:09:59
167,4241,4255,01:10:41 to 01:10:55
167,4262,4307,01:11:02 to 01:11:47
204,4313,4325,01:11:53 to 01:12:05
167,4334,4406,01:12:14 to 01:13:26
204,4415,4433,01:13:35 to 01:13:53
170,4461,4521,01:14:21 to 01:15:21
34,4557,4576,01:15:57 to 01:16:16
34,4607,4640,01:16:47 to 01:17:20
318,4664,4742,01:17:44 to 01:19:02
