person,start,stop,formatted
340,15,29,00:00:15 to 00:00:29
343,67,231,00:01:07 to 00:03:51
343,241,260,00:04:01 to 00:04:20
343,266,301,00:04:26 to 00:05:01
57,311,375,00:05:11 to 00:06:15
58,320,331,00:05:20 to 00:05:31
57,380,404,00:06:20 to 00:06:44
57,410,434,00:06:50 to 00:07:14
57,441,462,00:07:21 to 00:07:42
57,474,494,00:07:54 to 00:08:14
58,496,506,00:08:16 to 00:08:26
57,517,581,00:08:37 to 00:09:41
57,586,599,00:09:46 to 00:09:59
13,609,1187,00:10:09 to 00:19:47
27,1193,1206,00:19:53 to 00:20:06
27,1211,1232,00:20:11 to 00:20:32
27,1240,1332,00:20:40 to 00:22:12
27,1349,1416,00:22:29 to 00:23:36
27,1421,1453,00:23:41 to 00:24:13
27,1463,1542,00:24:23 to 00:25:42
283,1571,1582,00:26:11 to 00:26:22
283,1596,1618,00:26:36 to 00:26:58
136,2451,2473,00:40:51 to 00:41:13
13,2480,2608,00:41:20 to 00:43:28
258,2615,2627,00:43:35 to 00:43:47
13,2631,2700,00:43:51 to 00:45:00
88,2708,2720,00:45:08 to 00:45:20
27,2739,2770,00:45:39 to 00:46:10
351,2794,2813,00:46:34 to 00:46:53
27,2813,2910,00:46:53 to 00:48:30
229,2915,2930,00:48:35 to 00:48:50
13,2936,2981,00:48:56 to 00:49:41
27,3006,3076,00:50:06 to 00:51:16
27,3082,3111,00:51:22 to 00:51:51
306,3121,3159,00:52:01 to 00:52:39
27,3160,3199,00:52:40 to 00:53:19
13,3206,3332,00:53:26 to 00:55:32
246,3338,3360,00:55:38 to 00:56:00
343,3361,3436,00:56:01 to 00:57:16
349,3442,3455,00:57:22 to 00:57:35
13,3468,3531,00:57:48 to 00:58:51
27,3540,3607,00:59:00 to 01:00:07
306,3616,3669,01:00:16 to 01:01:09
343,3670,3744,01:01:10 to 01:02:24
351,3751,3762,01:02:31 to 01:02:42
13,3772,3865,01:02:52 to 01:04:25
61,3870,3896,01:04:30 to 01:04:56
343,3897,3954,01:04:57 to 01:05:54
229,3962,3977,01:06:02 to 01:06:17
343,3977,4008,01:06:17 to 01:06:48
88,4014,4031,01:06:54 to 01:07:11
343,4032,4077,01:07:12 to 01:07:57
136,4082,4119,01:08:02 to 01:08:39
343,4120,4220,01:08:40 to 01:10:20
13,4229,4295,01:10:29 to 01:11:35
246,4300,4322,01:11:40 to 01:12:02
343,4324,4386,01:12:04 to 01:13:06
61,4391,4405,01:13:11 to 01:13:25
343,4406,4435,01:13:26 to 01:13:55
343,4444,4484,01:14:04 to 01:14:44
349,4503,4540,01:15:03 to 01:15:40
343,4546,4586,01:15:46 to 01:16:26
229,4617,4628,01:16:57 to 01:17:08
343,4628,4686,01:17:08 to 01:18:06
343,4706,4738,01:18:26 to 01:18:58
306,4742,4775,01:19:02 to 01:19:35
306,4782,4801,01:19:42 to 01:20:01
343,4803,4876,01:20:03 to 01:21:16
343,4883,4961,01:21:23 to 01:22:41
73,4968,4988,01:22:48 to 01:23:08
343,4989,5009,01:23:09 to 01:23:29
246,5019,5030,01:23:39 to 01:23:50
343,5031,5059,01:23:51 to 01:24:19
343,5071,5104,01:24:31 to 01:25:04
136,5110,5133,01:25:10 to 01:25:33
343,5133,5196,01:25:33 to 01:26:36
343,5208,5257,01:26:48 to 01:27:37
258,5268,5280,01:27:48 to 01:28:00
27,5282,5350,01:28:02 to 01:29:10
343,5376,5446,01:29:36 to 01:30:46
13,5462,5592,01:31:02 to 01:33:12
306,5602,5643,01:33:22 to 01:34:03
13,5644,5670,01:34:04 to 01:34:30
343,5678,5713,01:34:38 to 01:35:13
