person,start,stop,formatted
70,38,279,00:00:38 to 00:04:39
70,286,307,00:04:46 to 00:05:07
70,312,710,00:05:12 to 00:11:50
351,721,738,00:12:01 to 00:12:18
70,738,821,00:12:18 to 00:13:41
70,833,855,00:13:53 to 00:14:15
300,862,873,00:14:22 to 00:14:33
70,870,912,00:14:30 to 00:15:12
300,915,926,00:15:15 to 00:15:26
213,958,976,00:15:58 to 00:16:16
70,977,1001,00:16:17 to 00:16:41
70,1012,1058,00:16:52 to 00:17:38
84,1171,1188,00:19:31 to 00:19:48
70,1189,1325,00:19:49 to 00:22:05
33,1330,1345,00:22:10 to 00:22:25
159,1353,1372,00:22:33 to 00:22:52
70,1373,1430,00:22:53 to 00:23:50
61,1437,1458,00:23:57 to 00:24:18
70,1458,1525,00:24:18 to 00:25:25
51,1532,1576,00:25:32 to 00:26:16
343,1695,1711,00:28:15 to 00:28:31
62,1719,1730,00:28:39 to 00:28:50
70,1730,1847,00:28:50 to 00:30:47
70,1879,2006,00:31:19 to 00:33:26
202,2012,2022,00:33:32 to 00:33:42
159,2121,2150,00:35:21 to 00:35:50
173,2133,2150,00:35:33 to 00:35:50
70,2153,2163,00:35:53 to 00:36:03
84,2168,2200,00:36:08 to 00:36:40
70,2200,2262,00:36:40 to 00:37:42
300,2269,2281,00:37:49 to 00:38:01
70,2282,2296,00:38:02 to 00:38:16
351,2301,2311,00:38:21 to 00:38:31
70,2312,2366,00:38:32 to 00:39:26
36,2372,2385,00:39:32 to 00:39:45
70,2385,2410,00:39:45 to 00:40:10
174,2417,2427,00:40:17 to 00:40:27
159,2426,2441,00:40:26 to 00:40:41
70,2442,2501,00:40:42 to 00:41:41
70,2515,2530,00:41:55 to 00:42:10
174,2539,2554,00:42:19 to 00:42:34
159,2540,2555,00:42:20 to 00:42:35
70,2556,2579,00:42:36 to 00:42:59
300,2593,2610,00:43:13 to 00:43:30
