person,start,stop,formatted
76,70,144,00:01:10 to 00:02:24
195,152,478,00:02:32 to 00:07:58
70,486,1261,00:08:06 to 00:21:01
371,1272,1297,00:21:12 to 00:21:37
371,1314,1638,00:21:54 to 00:27:18
371,1643,1712,00:27:23 to 00:28:32
371,1717,1825,00:28:37 to 00:30:25
70,1853,1879,00:30:53 to 00:31:19
155,1884,1898,00:31:24 to 00:31:38
195,1905,1989,00:31:45 to 00:33:09
195,1995,2058,00:33:15 to 00:34:18
160,2066,2082,00:34:26 to 00:34:42
70,2085,2151,00:34:45 to 00:35:51
70,2176,2245,00:36:16 to 00:37:25
343,2256,2272,00:37:36 to 00:37:52
70,2291,2354,00:38:11 to 00:39:14
229,2364,2375,00:39:24 to 00:39:35
70,2379,2447,00:39:39 to 00:40:47
195,2467,2545,00:41:07 to 00:42:25
349,2556,2566,00:42:36 to 00:42:46
70,2571,2653,00:42:51 to 00:44:13
70,2671,2708,00:44:31 to 00:45:08
51,2713,2724,00:45:13 to 00:45:24
258,2713,2724,00:45:13 to 00:45:24
70,2727,2795,00:45:27 to 00:46:35
70,2810,2892,00:46:50 to 00:48:12
195,2934,3081,00:48:54 to 00:51:21
252,3087,3101,00:51:27 to 00:51:41
70,3102,3166,00:51:42 to 00:52:46
46,3179,3208,00:52:59 to 00:53:28
70,3214,3270,00:53:34 to 00:54:30
195,3305,3368,00:55:05 to 00:56:08
246,3376,3403,00:56:16 to 00:56:43
70,3407,3526,00:56:47 to 00:58:46
208,3535,3555,00:58:55 to 00:59:15
70,3563,3643,00:59:23 to 01:00:43
195,3652,3756,01:00:52 to 01:02:36
70,3781,3841,01:03:01 to 01:04:01
349,3851,3876,01:04:11 to 01:04:36
195,3883,3944,01:04:43 to 01:05:44
59,3952,3966,01:05:52 to 01:06:06
70,3966,4067,01:06:06 to 01:07:47
70,4106,4222,01:08:26 to 01:10:22
132,4231,4250,01:10:31 to 01:10:50
70,4254,4311,01:10:54 to 01:11:51
70,4415,4504,01:13:35 to 01:15:04
371,4511,4620,01:15:11 to 01:17:00
343,4677,4690,01:17:57 to 01:18:10
61,4717,4733,01:18:37 to 01:18:53
70,4737,4829,01:18:57 to 01:20:29
70,4838,4898,01:20:38 to 01:21:38
51,4905,4961,01:21:45 to 01:22:41
70,4969,5033,01:22:49 to 01:23:53
32,5047,5063,01:24:07 to 01:24:23
70,5083,5154,01:24:43 to 01:25:54
70,5168,5213,01:26:08 to 01:26:53
113,5221,5238,01:27:01 to 01:27:18
70,5242,5353,01:27:22 to 01:29:13
195,5362,5414,01:29:22 to 01:30:14
63,5422,5446,01:30:22 to 01:30:46
195,5455,5531,01:30:55 to 01:32:11
195,5547,5610,01:32:27 to 01:33:30
16,5628,5647,01:33:48 to 01:34:07
195,5649,5727,01:34:09 to 01:35:27
70,5751,5820,01:35:51 to 01:37:00
113,5827,5839,01:37:07 to 01:37:19
70,5842,5948,01:37:22 to 01:39:08
246,5955,5990,01:39:15 to 01:39:50
343,6060,6070,01:41:00 to 01:41:10
136,6083,6098,01:41:23 to 01:41:38
70,6102,6129,01:41:42 to 01:42:09
70,6136,6185,01:42:16 to 01:43:05
371,6191,6215,01:43:11 to 01:43:35
72,6226,6238,01:43:46 to 01:43:58
195,6242,6277,01:44:02 to 01:44:37
229,6286,6311,01:44:46 to 01:45:11
70,6314,6324,01:45:14 to 01:45:24
