person,start,stop,formatted
373,15,805,00:00:15 to 00:13:25
373,811,919,00:13:31 to 00:15:19
84,931,946,00:15:31 to 00:15:46
373,950,1015,00:15:50 to 00:16:55
221,1024,1036,00:17:04 to 00:17:16
373,1040,1163,00:17:20 to 00:19:23
104,1172,1225,00:19:32 to 00:20:25
373,1230,1249,00:20:30 to 00:20:49
112,1258,1297,00:20:58 to 00:21:37
373,1300,1481,00:21:40 to 00:24:41
61,1738,1749,00:28:58 to 00:29:09
373,1754,1923,00:29:14 to 00:32:03
373,1938,1979,00:32:18 to 00:32:59
373,2063,2074,00:34:23 to 00:34:34
373,2092,2221,00:34:52 to 00:37:01
104,2231,2251,00:37:11 to 00:37:31
112,2272,2298,00:37:52 to 00:38:18
104,2316,2344,00:38:36 to 00:39:04
373,2377,2418,00:39:37 to 00:40:18
16,2429,2444,00:40:29 to 00:40:44
373,2449,2543,00:40:49 to 00:42:23
373,2564,2578,00:42:44 to 00:42:58
112,2608,2653,00:43:28 to 00:44:13
373,2657,2844,00:44:17 to 00:47:24
61,2852,2866,00:47:32 to 00:47:46
