person,start,stop,formatted
76,2,16,00:00:02 to 00:00:16
70,19,641,00:00:19 to 00:10:41
201,650,1145,00:10:50 to 00:19:05
132,1147,1168,00:19:07 to 00:19:28
70,1170,1261,00:19:30 to 00:21:01
343,1270,1292,00:21:10 to 00:21:32
70,1292,1320,00:21:32 to 00:22:00
112,1320,1344,00:22:00 to 00:22:24
70,1347,1436,00:22:27 to 00:23:56
201,1439,1522,00:23:59 to 00:25:22
187,1522,1543,00:25:22 to 00:25:43
70,1544,1594,00:25:44 to 00:26:34
49,1602,1628,00:26:42 to 00:27:08
70,1632,1781,00:27:12 to 00:29:41
201,1801,1904,00:30:01 to 00:31:44
70,1894,1940,00:31:34 to 00:32:20
70,1958,2006,00:32:38 to 00:33:26
107,2007,2041,00:33:27 to 00:34:01
70,2042,2204,00:34:02 to 00:36:44
343,2210,2248,00:36:50 to 00:37:28
187,2256,2267,00:37:36 to 00:37:47
70,2271,2343,00:37:51 to 00:39:03
70,2366,2449,00:39:26 to 00:40:49
70,2457,2479,00:40:57 to 00:41:19
343,2479,2541,00:41:19 to 00:42:21
3,2549,2560,00:42:29 to 00:42:40
343,2564,2619,00:42:44 to 00:43:39
70,2630,2658,00:43:50 to 00:44:18
112,2664,2684,00:44:24 to 00:44:44
70,2684,2754,00:44:44 to 00:45:54
70,2764,2803,00:46:04 to 00:46:43
343,2870,2892,00:47:50 to 00:48:12
113,2893,2904,00:48:13 to 00:48:24
70,2908,2928,00:48:28 to 00:48:48
70,2939,2991,00:48:59 to 00:49:51
107,2992,3005,00:49:52 to 00:50:05
343,3006,3031,00:50:06 to 00:50:31
112,3039,3082,00:50:39 to 00:51:22
70,3083,3161,00:51:23 to 00:52:41
343,3157,3204,00:52:37 to 00:53:24
70,3221,3273,00:53:41 to 00:54:33
