person,start,stop,formatted
76,20,79,00:00:20 to 00:01:19
195,88,345,00:01:28 to 00:05:45
70,354,894,00:05:54 to 00:14:54
373,905,1214,00:15:05 to 00:20:14
371,1225,1584,00:20:25 to 00:26:24
163,1619,1634,00:26:59 to 00:27:14
70,1638,1850,00:27:18 to 00:30:50
70,1865,1919,00:31:05 to 00:31:59
70,1928,1991,00:32:08 to 00:33:11
117,2010,2031,00:33:30 to 00:33:51
70,2041,2183,00:34:01 to 00:36:23
349,2200,2225,00:36:40 to 00:37:05
70,2230,2307,00:37:10 to 00:38:27
198,2316,2333,00:38:36 to 00:38:53
373,2464,2487,00:41:04 to 00:41:27
253,2500,2533,00:41:40 to 00:42:13
70,2562,2633,00:42:42 to 00:43:53
247,2642,2658,00:44:02 to 00:44:18
70,2664,2725,00:44:24 to 00:45:25
247,2729,2758,00:45:29 to 00:45:58
195,2764,2886,00:46:04 to 00:48:06
61,2892,2904,00:48:12 to 00:48:24
70,2910,3001,00:48:30 to 00:50:01
70,3015,3043,00:50:15 to 00:50:43
373,3086,3188,00:51:26 to 00:53:08
358,3199,3215,00:53:19 to 00:53:35
187,3223,3241,00:53:43 to 00:54:01
373,3242,3320,00:54:02 to 00:55:20
76,3329,3340,00:55:29 to 00:55:40
70,3350,3428,00:55:50 to 00:57:08
70,3449,3472,00:57:29 to 00:57:52
195,3486,3634,00:58:06 to 01:00:34
195,3646,3767,01:00:46 to 01:02:47
70,3787,3874,01:03:07 to 01:04:34
61,3887,3915,01:04:47 to 01:05:15
373,3919,3992,01:05:19 to 01:06:32
70,4011,4057,01:06:51 to 01:07:37
297,4111,4138,01:08:31 to 01:08:58
70,4139,4249,01:08:59 to 01:10:49
195,4275,4343,01:11:15 to 01:12:23
197,4425,4440,01:13:45 to 01:14:00
70,4443,4549,01:14:03 to 01:15:49
70,4561,4640,01:16:01 to 01:17:20
151,4647,4658,01:17:27 to 01:17:38
51,4708,4727,01:18:28 to 01:18:47
187,4753,4765,01:19:13 to 01:19:25
195,4793,4807,01:19:53 to 01:20:07
76,4815,4831,01:20:15 to 01:20:31
282,4875,4889,01:21:15 to 01:21:29
371,4894,4933,01:21:34 to 01:22:13
70,4956,4986,01:22:36 to 01:23:06
104,5000,5011,01:23:20 to 01:23:31
349,5017,5035,01:23:37 to 01:23:55
70,5042,5073,01:24:02 to 01:24:33
70,5140,5156,01:25:40 to 01:25:56
247,5164,5181,01:26:04 to 01:26:21
76,5251,5284,01:27:31 to 01:28:04
44,5333,5348,01:28:53 to 01:29:08
70,5416,5475,01:30:16 to 01:31:15
61,5480,5510,01:31:20 to 01:31:50
