person,start,stop,formatted
340,21,40,00:00:21 to 00:00:40
134,51,947,00:00:51 to 00:15:47
276,955,1300,00:15:55 to 00:21:40
13,1310,1684,00:21:50 to 00:28:04
134,1705,1715,00:28:25 to 00:28:35
22,1722,1736,00:28:42 to 00:28:56
134,1739,1826,00:28:59 to 00:30:26
309,1833,1848,00:30:33 to 00:30:48
13,1850,1899,00:30:50 to 00:31:39
134,1917,1946,00:31:57 to 00:32:26
198,1953,1966,00:32:33 to 00:32:46
134,1966,1980,00:32:46 to 00:33:00
155,1986,2001,00:33:06 to 00:33:21
134,2002,2128,00:33:22 to 00:35:28
134,2152,2208,00:35:52 to 00:36:48
61,2215,2233,00:36:55 to 00:37:13
134,2233,2270,00:37:13 to 00:37:50
136,2278,2309,00:37:58 to 00:38:29
134,2313,2346,00:38:33 to 00:39:06
276,2352,2417,00:39:12 to 00:40:17
132,2424,2438,00:40:24 to 00:40:38
134,2441,2504,00:40:41 to 00:41:44
62,2510,2546,00:41:50 to 00:42:26
134,2551,2648,00:42:31 to 00:44:08
13,2661,2711,00:44:21 to 00:45:11
155,2716,2735,00:45:16 to 00:45:35
206,2716,2735,00:45:16 to 00:45:35
276,2736,2770,00:45:36 to 00:46:10
206,2771,2785,00:46:11 to 00:46:25
198,2801,2826,00:46:41 to 00:47:06
134,2827,2864,00:47:07 to 00:47:44
208,2868,2898,00:47:48 to 00:48:18
13,2901,2985,00:48:21 to 00:49:45
208,2985,2997,00:49:45 to 00:49:57
13,2998,3076,00:49:58 to 00:51:16
281,3097,3109,00:51:37 to 00:51:49
134,3110,3136,00:51:50 to 00:52:16
107,3299,3333,00:54:59 to 00:55:33
134,3334,3365,00:55:34 to 00:56:05
309,3371,3399,00:56:11 to 00:56:39
13,3402,3449,00:56:42 to 00:57:29
134,3581,3713,00:59:41 to 01:01:53
61,3720,3737,01:02:00 to 01:02:17
134,3738,3808,01:02:18 to 01:03:28
136,3813,3829,01:03:33 to 01:03:49
13,3835,3849,01:03:55 to 01:04:09
281,3974,4000,01:06:14 to 01:06:40
134,4000,4039,01:06:40 to 01:07:19
142,4078,4094,01:07:58 to 01:08:14
134,4137,4180,01:08:57 to 01:09:40
107,4190,4206,01:09:50 to 01:10:06
62,4259,4289,01:10:59 to 01:11:29
134,4293,4448,01:11:33 to 01:14:08
