person,start,stop,formatted
340,6,32,00:00:06 to 00:00:32
343,37,247,00:00:37 to 00:04:07
321,254,887,00:04:14 to 00:14:47
170,892,1192,00:14:52 to 00:19:52
170,1199,1357,00:19:59 to 00:22:37
349,1403,1419,00:23:23 to 00:23:39
343,1420,1566,00:23:40 to 00:26:06
170,1584,1654,00:26:24 to 00:27:34
246,1661,1675,00:27:41 to 00:27:55
343,1675,1713,00:27:55 to 00:28:33
246,1708,1718,00:28:28 to 00:28:38
62,1731,1749,00:28:51 to 00:29:09
321,1749,1778,00:29:09 to 00:29:38
343,1812,1842,00:30:12 to 00:30:42
62,1848,1867,00:30:48 to 00:31:07
343,1867,1899,00:31:07 to 00:31:39
204,1904,1923,00:31:44 to 00:32:03
343,1923,1935,00:32:03 to 00:32:15
343,1976,2037,00:32:56 to 00:33:57
349,2047,2061,00:34:07 to 00:34:21
