person,start,stop,formatted
76,8,75,00:00:08 to 00:01:15
373,81,425,00:01:21 to 00:07:05
373,439,487,00:07:19 to 00:08:07
84,501,515,00:08:21 to 00:08:35
373,516,616,00:08:36 to 00:10:16
373,631,676,00:10:31 to 00:11:16
373,681,718,00:11:21 to 00:11:58
190,724,756,00:12:04 to 00:12:36
112,759,781,00:12:39 to 00:13:01
373,788,842,00:13:08 to 00:14:02
373,856,897,00:14:16 to 00:14:57
349,906,932,00:15:06 to 00:15:32
373,937,1003,00:15:37 to 00:16:43
51,1010,1028,00:16:50 to 00:17:08
373,1032,1089,00:17:12 to 00:18:09
229,1101,1117,00:18:21 to 00:18:37
373,1118,1153,00:18:38 to 00:19:13
190,1161,1204,00:19:21 to 00:20:04
373,1221,1242,00:20:21 to 00:20:42
373,1253,1315,00:20:53 to 00:21:55
373,1329,1404,00:22:09 to 00:23:24
136,1413,1429,00:23:33 to 00:23:49
