person,start,stop,formatted
340,45,87,00:00:45 to 00:01:27
343,110,121,00:01:50 to 00:02:01
343,128,184,00:02:08 to 00:03:04
283,193,662,00:03:13 to 00:11:02
253,669,698,00:11:09 to 00:11:38
253,705,729,00:11:45 to 00:12:09
170,736,942,00:12:16 to 00:15:42
343,970,1007,00:16:10 to 00:16:47
343,1014,1083,00:16:54 to 00:18:03
343,1098,1112,00:18:18 to 00:18:32
343,1136,1165,00:18:56 to 00:19:25
343,1173,1193,00:19:33 to 00:19:53
160,1201,1228,00:20:01 to 00:20:28
160,1234,1247,00:20:34 to 00:20:47
343,1248,1299,00:20:48 to 00:21:39
170,1305,1336,00:21:45 to 00:22:16
25,1343,1359,00:22:23 to 00:22:39
343,1362,1394,00:22:42 to 00:23:14
61,1401,1422,00:23:21 to 00:23:42
343,1424,1460,00:23:44 to 00:24:20
349,1466,1497,00:24:26 to 00:24:57
343,1497,1536,00:24:57 to 00:25:36
343,1554,1595,00:25:54 to 00:26:35
306,1612,1635,00:26:52 to 00:27:15
343,1636,1647,00:27:16 to 00:27:27
284,1654,1672,00:27:34 to 00:27:52
343,1676,1729,00:27:56 to 00:28:49
343,1734,1750,00:28:54 to 00:29:10
83,1761,1772,00:29:21 to 00:29:32
343,1772,1800,00:29:32 to 00:30:00
160,1806,1854,00:30:06 to 00:30:54
343,1858,1972,00:30:58 to 00:32:52
283,1989,2108,00:33:09 to 00:35:08
283,2121,2206,00:35:21 to 00:36:46
25,2214,2242,00:36:54 to 00:37:22
343,2246,2281,00:37:26 to 00:38:01
61,2288,2314,00:38:08 to 00:38:34
283,2314,2337,00:38:34 to 00:38:57
283,2343,2373,00:39:03 to 00:39:33
63,2383,2396,00:39:43 to 00:39:56
343,2397,2479,00:39:57 to 00:41:19
306,2484,2510,00:41:24 to 00:41:50
343,2511,2538,00:41:51 to 00:42:18
349,2547,2575,00:42:27 to 00:42:55
343,2577,2604,00:42:57 to 00:43:24
343,2611,2666,00:43:31 to 00:44:26
343,2690,2742,00:44:50 to 00:45:42
132,2749,2765,00:45:49 to 00:46:05
283,2773,2788,00:46:13 to 00:46:28
343,2814,2837,00:46:54 to 00:47:17
22,2844,2856,00:47:24 to 00:47:36
343,2857,2918,00:47:37 to 00:48:38
83,2926,2943,00:48:46 to 00:49:03
343,2945,2972,00:49:05 to 00:49:32
160,2978,2992,00:49:38 to 00:49:52
283,2993,3062,00:49:53 to 00:51:02
343,3085,3121,00:51:25 to 00:52:01
50,3128,3144,00:52:08 to 00:52:24
283,3144,3318,00:52:24 to 00:55:18
213,3323,3340,00:55:23 to 00:55:40
343,3351,3385,00:55:51 to 00:56:25
25,3392,3418,00:56:32 to 00:56:58
343,3419,3481,00:56:59 to 00:58:01
61,3487,3504,00:58:07 to 00:58:24
170,3504,3562,00:58:24 to 00:59:22
61,3563,3574,00:59:23 to 00:59:34
170,3575,3604,00:59:35 to 01:00:04
286,3613,3639,01:00:13 to 01:00:39
253,3641,3712,01:00:41 to 01:01:52
343,3717,3775,01:01:57 to 01:02:55
343,3780,3805,01:03:00 to 01:03:25
306,3812,3828,01:03:32 to 01:03:48
160,3838,3861,01:03:58 to 01:04:21
170,3861,4003,01:04:21 to 01:06:43
132,4010,4039,01:06:50 to 01:07:19
343,4041,4079,01:07:21 to 01:07:59
343,4093,4131,01:08:13 to 01:08:51
229,4137,4150,01:08:57 to 01:09:10
283,4151,4219,01:09:11 to 01:10:19
25,4228,4257,01:10:28 to 01:10:57
343,4258,4304,01:10:58 to 01:11:44
229,4314,4331,01:11:54 to 01:12:11
228,4315,4329,01:11:55 to 01:12:09
167,4347,4379,01:12:27 to 01:12:59
167,4390,4427,01:13:10 to 01:13:47
83,4449,4460,01:14:09 to 01:14:20
307,4480,4491,01:14:40 to 01:14:51
229,4528,4544,01:15:28 to 01:15:44
343,4559,4590,01:15:59 to 01:16:30
343,4610,4622,01:16:50 to 01:17:02
343,4627,4653,01:17:07 to 01:17:33
284,4674,4692,01:17:54 to 01:18:12
343,4695,4741,01:18:15 to 01:19:01
