person,start,stop,formatted
340,20,40,00:00:20 to 00:00:40
343,40,182,00:00:40 to 00:03:02
283,192,843,00:03:12 to 00:14:03
290,852,1490,00:14:12 to 00:24:50
343,1533,1647,00:25:33 to 00:27:27
343,1660,1745,00:27:40 to 00:29:05
306,1752,1811,00:29:12 to 00:30:11
343,1812,1902,00:30:12 to 00:31:42
246,1908,1936,00:31:48 to 00:32:16
343,1937,2003,00:32:17 to 00:33:23
136,2011,2038,00:33:31 to 00:33:58
343,2039,2058,00:33:59 to 00:34:18
343,2073,2107,00:34:33 to 00:35:07
343,2128,2152,00:35:28 to 00:35:52
62,2158,2172,00:35:58 to 00:36:12
343,2172,2208,00:36:12 to 00:36:48
62,2208,2220,00:36:48 to 00:37:00
343,2220,2250,00:37:00 to 00:37:30
247,2270,2291,00:37:50 to 00:38:11
343,2294,2330,00:38:14 to 00:38:50
343,2337,2359,00:38:57 to 00:39:19
343,2394,2422,00:39:54 to 00:40:22
343,2463,2511,00:41:03 to 00:41:51
136,2518,2534,00:41:58 to 00:42:14
290,2535,2595,00:42:15 to 00:43:15
290,2649,2879,00:44:09 to 00:47:59
247,2889,2907,00:48:09 to 00:48:27
343,2907,2940,00:48:27 to 00:49:00
246,2962,2983,00:49:22 to 00:49:43
343,2987,3012,00:49:47 to 00:50:12
306,3019,3052,00:50:19 to 00:50:52
290,3053,3102,00:50:53 to 00:51:42
306,3102,3121,00:51:42 to 00:52:01
349,3133,3163,00:52:13 to 00:52:43
343,3164,3224,00:52:44 to 00:53:44
343,3241,3285,00:54:01 to 00:54:45
22,3286,3301,00:54:46 to 00:55:01
343,3302,3330,00:55:02 to 00:55:30
247,3344,3375,00:55:44 to 00:56:15
343,3380,3451,00:56:20 to 00:57:31
59,3469,3489,00:57:49 to 00:58:09
343,3490,3508,00:58:10 to 00:58:28
59,3508,3526,00:58:28 to 00:58:46
343,3527,3573,00:58:47 to 00:59:33
340,3573,3585,00:59:33 to 00:59:45
136,3585,3600,00:59:45 to 01:00:00
283,3600,3662,01:00:00 to 01:01:02
306,3671,3699,01:01:11 to 01:01:39
283,3699,3796,01:01:39 to 01:03:16
247,3817,3829,01:03:37 to 01:03:49
258,3852,3874,01:04:12 to 01:04:34
