person,start,stop,formatted
340,18,36,00:00:18 to 00:00:36
343,40,217,00:00:40 to 00:03:37
269,224,469,00:03:44 to 00:07:49
269,475,754,00:07:55 to 00:12:34
290,761,1312,00:12:41 to 00:21:52
253,1319,1634,00:21:59 to 00:27:14
112,1919,1943,00:31:59 to 00:32:23
290,1944,2104,00:32:24 to 00:35:04
159,2113,2131,00:35:13 to 00:35:31
343,2133,2200,00:35:33 to 00:36:40
202,2207,2219,00:36:47 to 00:36:59
343,2219,2249,00:36:59 to 00:37:29
36,2266,2289,00:37:46 to 00:38:09
269,2289,2366,00:38:09 to 00:39:26
151,2375,2389,00:39:35 to 00:39:49
136,2426,2463,00:40:26 to 00:41:03
269,2464,2569,00:41:04 to 00:42:49
35,2576,2586,00:42:56 to 00:43:06
343,2587,2631,00:43:07 to 00:43:51
159,2650,2682,00:44:10 to 00:44:42
269,2683,2743,00:44:43 to 00:45:43
16,2750,2764,00:45:50 to 00:46:04
343,2764,2776,00:46:04 to 00:46:16
59,2785,2819,00:46:25 to 00:46:59
343,2820,2886,00:47:00 to 00:48:06
202,2918,2934,00:48:38 to 00:48:54
187,2969,2993,00:49:29 to 00:49:53
343,2995,3042,00:49:55 to 00:50:42
29,3053,3064,00:50:53 to 00:51:04
343,3064,3114,00:51:04 to 00:51:54
136,3122,3133,00:52:02 to 00:52:13
343,3134,3159,00:52:14 to 00:52:39
49,3166,3179,00:52:46 to 00:52:59
343,3180,3207,00:53:00 to 00:53:27
84,3214,3242,00:53:34 to 00:54:02
202,3342,3354,00:55:42 to 00:55:54
269,3356,3428,00:55:56 to 00:57:08
112,3435,3468,00:57:15 to 00:57:48
343,3468,3502,00:57:48 to 00:58:22
136,3509,3541,00:58:29 to 00:59:01
269,3546,3600,00:59:06 to 01:00:00
343,3607,3627,01:00:07 to 01:00:27
84,3633,3651,01:00:33 to 01:00:51
343,3653,3688,01:00:53 to 01:01:28
84,3690,3702,01:01:30 to 01:01:42
343,3703,3735,01:01:43 to 01:02:15
343,3748,3786,01:02:28 to 01:03:06
159,3792,3812,01:03:12 to 01:03:32
343,3814,3902,01:03:34 to 01:05:02
290,3927,3956,01:05:27 to 01:05:56
290,3966,4012,01:06:06 to 01:06:52
36,4018,4034,01:06:58 to 01:07:14
343,4035,4071,01:07:15 to 01:07:51
59,4081,4107,01:08:01 to 01:08:27
343,4108,4163,01:08:28 to 01:09:23
112,4172,4216,01:09:32 to 01:10:16
343,4217,4285,01:10:17 to 01:11:25
84,4291,4330,01:11:31 to 01:12:10
343,4330,4377,01:12:10 to 01:12:57
343,4385,4420,01:13:05 to 01:13:40
343,4455,4495,01:14:15 to 01:14:55
159,4503,4522,01:15:03 to 01:15:22
253,4523,4556,01:15:23 to 01:15:56
112,4564,4588,01:16:04 to 01:16:28
253,4589,4634,01:16:29 to 01:17:14
112,4636,4646,01:17:16 to 01:17:26
253,4647,4676,01:17:27 to 01:17:56
211,4690,4702,01:18:10 to 01:18:22
343,4706,4724,01:18:26 to 01:18:44
202,4730,4748,01:18:50 to 01:19:08
343,4758,4783,01:19:18 to 01:19:43
84,4790,4803,01:19:50 to 01:20:03
343,4804,4846,01:20:04 to 01:20:46
112,4852,4865,01:20:52 to 01:21:05
343,4873,4893,01:21:13 to 01:21:33
