person,start,stop,formatted
169,48,314,00:00:48 to 00:05:14
168,315,326,00:05:15 to 00:05:26
26,334,615,00:05:34 to 00:10:15
154,629,648,00:10:29 to 00:10:48
169,654,697,00:10:54 to 00:11:37
169,708,734,00:11:48 to 00:12:14
88,741,755,00:12:21 to 00:12:35
169,759,809,00:12:39 to 00:13:29
246,819,839,00:13:39 to 00:13:59
26,839,924,00:13:59 to 00:15:24
116,930,945,00:15:30 to 00:15:45
169,945,984,00:15:45 to 00:16:24
124,990,1000,00:16:30 to 00:16:40
169,1001,1120,00:16:41 to 00:18:40
169,1135,1182,00:18:55 to 00:19:42
26,1187,1220,00:19:47 to 00:20:20
102,1231,1248,00:20:31 to 00:20:48
26,1255,1292,00:20:55 to 00:21:32
169,1301,1324,00:21:41 to 00:22:04
246,1330,1365,00:22:10 to 00:22:45
169,1366,1399,00:22:46 to 00:23:19
301,1410,1453,00:23:30 to 00:24:13
169,1454,1506,00:24:14 to 00:25:06
301,1507,1538,00:25:07 to 00:25:38
169,1538,1606,00:25:38 to 00:26:46
169,1622,1651,00:27:02 to 00:27:31
62,1658,1677,00:27:38 to 00:27:57
169,1677,1702,00:27:57 to 00:28:22
23,1709,1724,00:28:29 to 00:28:44
169,1724,1736,00:28:44 to 00:28:56
169,1751,1780,00:29:11 to 00:29:40
246,1787,1797,00:29:47 to 00:29:57
17,1811,1827,00:30:11 to 00:30:27
169,1828,1838,00:30:28 to 00:30:38
169,1853,1910,00:30:53 to 00:31:50
124,1914,1927,00:31:54 to 00:32:07
26,1927,2001,00:32:07 to 00:33:21
