person,start,stop,formatted
340,1,44,00:00:01 to 00:00:44
343,67,208,00:01:07 to 00:03:28
104,216,546,00:03:36 to 00:09:06
269,553,1118,00:09:13 to 00:18:38
269,1127,1139,00:18:47 to 00:18:59
253,1146,1273,00:19:06 to 00:21:13
253,1280,1299,00:21:20 to 00:21:39
340,1485,1503,00:24:45 to 00:25:03
343,1527,1547,00:25:27 to 00:25:47
16,1553,1572,00:25:53 to 00:26:12
253,1572,1593,00:26:12 to 00:26:33
25,1604,1630,00:26:44 to 00:27:10
104,1631,1815,00:27:11 to 00:30:15
343,1820,1862,00:30:20 to 00:31:02
343,1882,1944,00:31:22 to 00:32:24
104,1950,1970,00:32:30 to 00:32:50
110,1971,1992,00:32:51 to 00:33:12
104,1993,2031,00:33:13 to 00:33:51
349,2038,2074,00:33:58 to 00:34:34
349,2080,2119,00:34:40 to 00:35:19
343,2123,2203,00:35:23 to 00:36:43
343,2209,2280,00:36:49 to 00:38:00
177,2288,2305,00:38:08 to 00:38:25
343,2307,2430,00:38:27 to 00:40:30
104,2445,2504,00:40:45 to 00:41:44
104,2517,2530,00:41:57 to 00:42:10
269,2547,2606,00:42:27 to 00:43:26
208,2612,2627,00:43:32 to 00:43:47
269,2642,2736,00:44:02 to 00:45:36
38,2745,2772,00:45:45 to 00:46:12
343,2773,2799,00:46:13 to 00:46:39
343,2811,2888,00:46:51 to 00:48:08
343,2905,2952,00:48:25 to 00:49:12
159,2958,2977,00:49:18 to 00:49:37
269,2990,3035,00:49:50 to 00:50:35
159,3036,3062,00:50:36 to 00:51:02
269,3063,3137,00:51:03 to 00:52:17
343,3152,3178,00:52:32 to 00:52:58
160,3188,3208,00:53:08 to 00:53:28
269,3209,3310,00:53:29 to 00:55:10
110,3317,3333,00:55:17 to 00:55:33
343,3335,3376,00:55:35 to 00:56:16
306,3384,3422,00:56:24 to 00:57:02
104,3423,3523,00:57:03 to 00:58:43
269,3531,3584,00:58:51 to 00:59:44
16,3596,3615,00:59:56 to 01:00:15
62,3596,3615,00:59:56 to 01:00:15
343,3616,3669,01:00:16 to 01:01:09
104,3685,3726,01:01:25 to 01:02:06
25,3732,3760,01:02:12 to 01:02:40
343,3761,3791,01:02:41 to 01:03:11
159,3799,3832,01:03:19 to 01:03:52
269,3841,3912,01:04:01 to 01:05:12
269,3919,3929,01:05:19 to 01:05:29
170,3965,3979,01:06:05 to 01:06:19
269,4035,4110,01:07:15 to 01:08:30
38,4115,4135,01:08:35 to 01:08:55
269,4136,4216,01:08:56 to 01:10:16
16,4235,4256,01:10:35 to 01:10:56
269,4264,4287,01:11:04 to 01:11:27
177,4301,4330,01:11:41 to 01:12:10
25,4480,4495,01:14:40 to 01:14:55
343,4496,4511,01:14:56 to 01:15:11
306,4520,4546,01:15:20 to 01:15:46
343,4547,4594,01:15:47 to 01:16:34
104,4608,4664,01:16:48 to 01:17:44
159,4671,4682,01:17:51 to 01:18:02
343,4689,4700,01:18:09 to 01:18:20
343,4705,4729,01:18:25 to 01:18:49
343,4735,4745,01:18:55 to 01:19:05
110,4753,4764,01:19:13 to 01:19:24
343,4768,4790,01:19:28 to 01:19:50
110,4791,4820,01:19:51 to 01:20:20
104,4820,4896,01:20:20 to 01:21:36
349,4903,4924,01:21:43 to 01:22:04
343,4926,4998,01:22:06 to 01:23:18
25,5004,5019,01:23:24 to 01:23:39
343,5020,5113,01:23:40 to 01:25:13
343,5132,5159,01:25:32 to 01:25:59
159,5165,5188,01:26:05 to 01:26:28
104,5193,5232,01:26:33 to 01:27:12
104,5239,5303,01:27:19 to 01:28:23
177,5319,5363,01:28:39 to 01:29:23
343,5366,5381,01:29:26 to 01:29:41
343,5386,5420,01:29:46 to 01:30:20
