person,start,stop,formatted
76,16,37,00:00:16 to 00:00:37
257,43,608,00:00:43 to 00:10:08
151,626,643,00:10:26 to 00:10:43
257,647,695,00:10:47 to 00:11:35
132,705,716,00:11:45 to 00:11:56
257,722,758,00:12:02 to 00:12:38
220,766,792,00:12:46 to 00:13:12
220,799,840,00:13:19 to 00:14:00
139,842,872,00:14:02 to 00:14:32
43,880,893,00:14:40 to 00:14:53
257,894,1052,00:14:54 to 00:17:32
257,1081,1146,00:18:01 to 00:19:06
257,1152,1194,00:19:12 to 00:19:54
28,1204,1371,00:20:04 to 00:22:51
139,1378,1440,00:22:58 to 00:24:00
43,1450,1466,00:24:10 to 00:24:26
