person,start,stop,formatted
340,112,178,00:01:52 to 00:02:58
343,189,220,00:03:09 to 00:03:40
343,227,345,00:03:47 to 00:05:45
363,351,625,00:05:51 to 00:10:25
15,632,966,00:10:32 to 00:16:06
170,973,1328,00:16:13 to 00:22:08
198,1347,1358,00:22:27 to 00:22:38
343,1359,1393,00:22:39 to 00:23:13
14,1406,1420,00:23:26 to 00:23:40
343,1420,1467,00:23:40 to 00:24:27
343,1491,1534,00:24:51 to 00:25:34
343,1562,1599,00:26:02 to 00:26:39
62,1610,1631,00:26:50 to 00:27:11
363,1632,1644,00:27:12 to 00:27:24
343,1676,1716,00:27:56 to 00:28:36
198,1722,1739,00:28:42 to 00:28:59
343,1742,1762,00:29:02 to 00:29:22
343,1784,1821,00:29:44 to 00:30:21
343,1834,1870,00:30:34 to 00:31:10
198,1877,1913,00:31:17 to 00:31:53
343,1919,1950,00:31:59 to 00:32:30
14,1962,1990,00:32:42 to 00:33:10
343,1992,2021,00:33:12 to 00:33:41
343,2026,2128,00:33:46 to 00:35:28
198,2134,2156,00:35:34 to 00:35:56
343,2157,2207,00:35:57 to 00:36:47
170,2228,2274,00:37:08 to 00:37:54
14,2286,2303,00:38:06 to 00:38:23
