person,start,stop,formatted
70,20,73,00:00:20 to 00:01:13
70,80,699,00:01:20 to 00:11:39
103,708,955,00:11:48 to 00:15:55
257,975,1637,00:16:15 to 00:27:17
229,1657,1669,00:27:37 to 00:27:49
70,1670,1749,00:27:50 to 00:29:09
49,1762,1781,00:29:22 to 00:29:41
70,1786,1840,00:29:46 to 00:30:40
112,1949,1989,00:32:29 to 00:33:09
70,1992,2052,00:33:12 to 00:34:12
96,2057,2080,00:34:17 to 00:34:40
136,2090,2119,00:34:50 to 00:35:19
70,2120,2206,00:35:20 to 00:36:46
96,2211,2229,00:36:51 to 00:37:09
103,2262,2394,00:37:42 to 00:39:54
258,2406,2423,00:40:06 to 00:40:23
103,2424,2567,00:40:24 to 00:42:47
187,2574,2584,00:42:54 to 00:43:04
70,2589,2655,00:43:09 to 00:44:15
96,2661,2684,00:44:21 to 00:44:44
88,2694,2716,00:44:54 to 00:45:16
70,2719,2855,00:45:19 to 00:47:35
221,2905,2917,00:48:25 to 00:48:37
70,2920,3115,00:48:40 to 00:51:55
113,3123,3142,00:52:03 to 00:52:22
116,3123,3142,00:52:03 to 00:52:22
257,3146,3257,00:52:26 to 00:54:17
44,3263,3275,00:54:23 to 00:54:35
96,3310,3323,00:55:10 to 00:55:23
257,3331,3394,00:55:31 to 00:56:34
229,3400,3415,00:56:40 to 00:56:55
103,3420,3501,00:57:00 to 00:58:21
62,3509,3523,00:58:29 to 00:58:43
257,3524,3598,00:58:44 to 00:59:58
70,3633,3703,01:00:33 to 01:01:43
49,3711,3749,01:01:51 to 01:02:29
257,3750,4004,01:02:30 to 01:06:44
112,4020,4044,01:07:00 to 01:07:24
136,4054,4077,01:07:34 to 01:07:57
103,4080,4213,01:08:00 to 01:10:13
14,4220,4242,01:10:20 to 01:10:42
103,4245,4340,01:10:45 to 01:12:20
113,4350,4368,01:12:30 to 01:12:48
103,4369,4485,01:12:49 to 01:14:45
229,4492,4510,01:14:52 to 01:15:10
103,4510,4615,01:15:10 to 01:16:55
221,4622,4640,01:17:02 to 01:17:20
103,4643,4729,01:17:23 to 01:18:49
16,4740,4760,01:19:00 to 01:19:20
257,4761,4841,01:19:21 to 01:20:41
49,4847,4864,01:20:47 to 01:21:04
