person,start,stop,formatted
76,26,50,00:00:26 to 00:00:50
195,98,441,00:01:38 to 00:07:21
70,452,1068,00:07:32 to 00:17:48
373,1078,1415,00:17:58 to 00:23:35
161,1426,2052,00:23:46 to 00:34:12
76,2057,2077,00:34:17 to 00:34:37
163,2077,2099,00:34:37 to 00:34:59
70,2102,2177,00:35:02 to 00:36:17
219,2184,2199,00:36:24 to 00:36:39
343,2208,2218,00:36:48 to 00:36:58
110,2260,2278,00:37:40 to 00:37:58
70,2278,2368,00:37:58 to 00:39:28
160,2373,2400,00:39:33 to 00:40:00
195,2400,2469,00:40:00 to 00:41:09
306,2478,2519,00:41:18 to 00:41:59
195,2520,2643,00:42:00 to 00:44:03
246,2648,2667,00:44:08 to 00:44:27
113,2736,2757,00:45:36 to 00:45:57
70,2758,2876,00:45:58 to 00:47:56
70,2887,2941,00:48:07 to 00:49:01
47,2948,2960,00:49:08 to 00:49:20
52,2993,3046,00:49:53 to 00:50:46
161,3047,3085,00:50:47 to 00:51:25
52,3090,3114,00:51:30 to 00:51:54
229,3120,3144,00:52:00 to 00:52:24
70,3145,3208,00:52:25 to 00:53:28
349,3215,3236,00:53:35 to 00:53:56
70,3239,3295,00:53:59 to 00:54:55
70,3307,3350,00:55:07 to 00:55:50
240,3352,3403,00:55:52 to 00:56:43
180,3410,3425,00:56:50 to 00:57:05
195,3437,3550,00:57:17 to 00:59:10
213,3554,3572,00:59:14 to 00:59:32
70,3579,3656,00:59:39 to 01:00:56
62,3672,3684,01:01:12 to 01:01:24
70,3728,3825,01:02:08 to 01:03:45
240,3917,3958,01:05:17 to 01:05:58
195,3965,4039,01:06:05 to 01:07:19
49,4046,4064,01:07:26 to 01:07:44
373,4065,4100,01:07:45 to 01:08:20
373,4105,4214,01:08:25 to 01:10:14
110,4315,4330,01:11:55 to 01:12:10
70,4334,4355,01:12:14 to 01:12:35
70,4370,4395,01:12:50 to 01:13:15
161,4399,4427,01:13:19 to 01:13:47
195,4444,4486,01:14:04 to 01:14:46
219,4490,4508,01:14:50 to 01:15:08
70,4534,4562,01:15:34 to 01:16:02
306,4625,4651,01:17:05 to 01:17:31
70,4652,4717,01:17:32 to 01:18:37
306,4718,4736,01:18:38 to 01:18:56
70,4736,4805,01:18:56 to 01:20:05
70,4821,4850,01:20:21 to 01:20:50
349,4856,4866,01:20:56 to 01:21:06
343,4878,4896,01:21:18 to 01:21:36
163,4912,4934,01:21:52 to 01:22:14
70,4938,5019,01:22:18 to 01:23:39
195,5025,5087,01:23:45 to 01:24:47
62,5091,5108,01:24:51 to 01:25:08
373,5110,5200,01:25:10 to 01:26:40
373,5209,5252,01:26:49 to 01:27:32
113,5259,5275,01:27:39 to 01:27:55
195,5275,5396,01:27:55 to 01:29:56
180,5403,5418,01:30:03 to 01:30:18
180,5425,5436,01:30:25 to 01:30:36
343,5454,5466,01:30:54 to 01:31:06
70,5494,5525,01:31:34 to 01:32:05
81,5533,5548,01:32:13 to 01:32:28
