person,start,stop,formatted
76,32,90,00:00:32 to 00:01:30
371,100,550,00:01:40 to 00:09:10
371,557,569,00:09:17 to 00:09:29
371,588,697,00:09:48 to 00:11:37
70,717,1118,00:11:57 to 00:18:38
70,1124,1357,00:18:44 to 00:22:37
70,1363,1669,00:22:43 to 00:27:49
351,1696,1714,00:28:16 to 00:28:34
70,1715,1783,00:28:35 to 00:29:43
84,1788,1804,00:29:48 to 00:30:04
70,1805,1858,00:30:05 to 00:30:58
70,1866,1882,00:31:06 to 00:31:22
70,1887,1962,00:31:27 to 00:32:42
70,1999,2093,00:33:19 to 00:34:53
70,2104,2174,00:35:04 to 00:36:14
36,2180,2194,00:36:20 to 00:36:34
371,2202,2238,00:36:42 to 00:37:18
246,2305,2321,00:38:25 to 00:38:41
51,2395,2419,00:39:55 to 00:40:19
69,2433,2487,00:40:33 to 00:41:27
349,2498,2514,00:41:38 to 00:41:54
70,2572,2603,00:42:52 to 00:43:23
70,2618,2658,00:43:38 to 00:44:18
159,2666,2684,00:44:26 to 00:44:44
70,2684,2771,00:44:44 to 00:46:11
136,2777,2808,00:46:17 to 00:46:48
371,2813,2913,00:46:53 to 00:48:33
70,2923,3007,00:48:43 to 00:50:07
163,3014,3027,00:50:14 to 00:50:27
70,3032,3048,00:50:32 to 00:50:48
51,3064,3096,00:51:04 to 00:51:36
202,3064,3096,00:51:04 to 00:51:36
371,3097,3200,00:51:37 to 00:53:20
69,3225,3242,00:53:45 to 00:54:02
371,3255,3380,00:54:15 to 00:56:20
46,3409,3457,00:56:49 to 00:57:37
371,3462,3553,00:57:42 to 00:59:13
46,3563,3573,00:59:23 to 00:59:33
371,3574,3602,00:59:34 to 01:00:02
84,3606,3631,01:00:06 to 01:00:31
70,3632,3723,01:00:32 to 01:02:03
70,3794,3857,01:03:14 to 01:04:17
136,3862,3885,01:04:22 to 01:04:45
70,3889,3954,01:04:49 to 01:05:54
371,3961,4017,01:06:01 to 01:06:57
351,4030,4053,01:07:10 to 01:07:33
70,4053,4123,01:07:33 to 01:08:43
159,4129,4158,01:08:49 to 01:09:18
70,4173,4243,01:09:33 to 01:10:43
70,4255,4270,01:10:55 to 01:11:10
70,4278,4319,01:11:18 to 01:11:59
371,4358,4376,01:12:38 to 01:12:56
251,4377,4401,01:12:57 to 01:13:21
251,4407,4430,01:13:27 to 01:13:50
246,4443,4463,01:14:03 to 01:14:23
70,4467,4624,01:14:27 to 01:17:04
70,4639,4662,01:17:19 to 01:17:42
36,4711,4728,01:18:31 to 01:18:48
251,4739,4764,01:18:59 to 01:19:24
251,4789,4800,01:19:49 to 01:20:00
51,4848,4876,01:20:48 to 01:21:16
163,4974,4998,01:22:54 to 01:23:18
70,5003,5090,01:23:23 to 01:24:50
