person,start,stop,formatted
76,12,48,00:00:12 to 00:00:48
195,61,410,00:01:01 to 00:06:50
70,416,917,00:06:56 to 00:15:17
176,928,1236,00:15:28 to 00:20:36
136,1247,1270,00:20:47 to 00:21:10
70,1270,1345,00:21:10 to 00:22:25
300,1353,1363,00:22:33 to 00:22:43
70,1363,1383,00:22:43 to 00:23:03
70,1399,1463,00:23:19 to 00:24:23
114,1471,1483,00:24:31 to 00:24:43
70,1484,1542,00:24:44 to 00:25:42
195,1558,1645,00:25:58 to 00:27:25
306,1653,1685,00:27:33 to 00:28:05
70,1686,1796,00:28:06 to 00:29:56
70,1810,1871,00:30:10 to 00:31:11
349,1899,1910,00:31:39 to 00:31:50
195,1910,1986,00:31:50 to 00:33:06
198,1994,2005,00:33:14 to 00:33:25
70,2012,2089,00:33:32 to 00:34:49
195,2093,2168,00:34:53 to 00:36:08
23,2176,2189,00:36:16 to 00:36:29
195,2222,2290,00:37:02 to 00:38:10
229,2295,2308,00:38:15 to 00:38:28
70,2311,2397,00:38:31 to 00:39:57
195,2414,2502,00:40:14 to 00:41:42
70,2517,2582,00:41:57 to 00:43:02
221,2592,2603,00:43:12 to 00:43:23
70,2604,2651,00:43:24 to 00:44:11
300,2659,2670,00:44:19 to 00:44:30
195,2671,2714,00:44:31 to 00:45:14
70,2717,2780,00:45:17 to 00:46:20
70,2787,2804,00:46:27 to 00:46:44
349,2809,2820,00:46:49 to 00:47:00
70,2841,2904,00:47:21 to 00:48:24
187,2909,2927,00:48:29 to 00:48:47
70,2928,2982,00:48:48 to 00:49:42
51,2987,3008,00:49:47 to 00:50:08
70,3008,3062,00:50:08 to 00:51:02
70,3072,3100,00:51:12 to 00:51:40
247,3106,3141,00:51:46 to 00:52:21
70,3141,3217,00:52:21 to 00:53:37
136,3223,3265,00:53:43 to 00:54:25
70,3266,3369,00:54:26 to 00:56:09
70,3382,3422,00:56:22 to 00:57:02
306,3427,3450,00:57:07 to 00:57:30
70,3450,3521,00:57:30 to 00:58:41
152,3526,3541,00:58:46 to 00:59:01
70,3544,3576,00:59:04 to 00:59:36
195,3599,3679,00:59:59 to 01:01:19
70,3684,3697,01:01:24 to 01:01:37
198,3704,3725,01:01:44 to 01:02:05
70,3725,3789,01:02:05 to 01:03:09
214,3814,3826,01:03:34 to 01:03:46
70,3827,3874,01:03:47 to 01:04:34
152,3882,3901,01:04:42 to 01:05:01
70,3901,3939,01:05:01 to 01:05:39
247,3944,3962,01:05:44 to 01:06:02
195,3963,4091,01:06:03 to 01:08:11
59,4098,4117,01:08:18 to 01:08:37
