person,start,stop,formatted
76,6,40,00:00:06 to 00:00:40
247,46,66,00:00:46 to 00:01:06
70,107,194,00:01:47 to 00:03:14
246,202,220,00:03:22 to 00:03:40
70,221,315,00:03:41 to 00:05:15
246,319,336,00:05:19 to 00:05:36
70,336,396,00:05:36 to 00:06:36
70,439,673,00:07:19 to 00:11:13
70,678,1239,00:11:18 to 00:20:39
371,1245,1733,00:20:45 to 00:28:53
213,1746,1756,00:29:06 to 00:29:16
70,1757,1839,00:29:17 to 00:30:39
213,1839,1850,00:30:39 to 00:30:50
70,1850,1895,00:30:50 to 00:31:35
343,1927,1961,00:32:07 to 00:32:41
155,1986,2013,00:33:06 to 00:33:33
371,2022,2081,00:33:42 to 00:34:41
70,2087,2142,00:34:47 to 00:35:42
70,2183,2323,00:36:23 to 00:38:43
70,2351,2398,00:39:11 to 00:39:58
51,2403,2456,00:40:03 to 00:40:56
70,2456,2508,00:40:56 to 00:41:48
13,2511,2598,00:41:51 to 00:43:18
76,2613,2624,00:43:33 to 00:43:44
61,2631,2653,00:43:51 to 00:44:13
70,2654,2707,00:44:14 to 00:45:07
70,2721,2788,00:45:21 to 00:46:28
160,2795,2809,00:46:35 to 00:46:49
70,2823,2906,00:47:03 to 00:48:26
159,2913,2934,00:48:33 to 00:48:54
371,2937,3074,00:48:57 to 00:51:14
112,3184,3225,00:53:04 to 00:53:45
258,3184,3225,00:53:04 to 00:53:45
70,3230,3336,00:53:50 to 00:55:36
247,3345,3377,00:55:45 to 00:56:17
70,3379,3520,00:56:19 to 00:58:40
247,3524,3553,00:58:44 to 00:59:13
371,3554,3665,00:59:14 to 01:01:05
166,3674,3718,01:01:14 to 01:01:58
70,3718,3778,01:01:58 to 01:02:58
343,3786,3797,01:03:06 to 01:03:17
155,3807,3829,01:03:27 to 01:03:49
70,3829,3928,01:03:49 to 01:05:28
51,3936,3964,01:05:36 to 01:06:04
343,3980,3998,01:06:20 to 01:06:38
13,4003,4022,01:06:43 to 01:07:02
247,4039,4072,01:07:19 to 01:07:52
70,4073,4121,01:07:53 to 01:08:41
14,4127,4142,01:08:47 to 01:09:02
70,4142,4177,01:09:02 to 01:09:37
112,4183,4218,01:09:43 to 01:10:18
70,4218,4297,01:10:18 to 01:11:37
151,4304,4332,01:11:44 to 01:12:12
70,4336,4379,01:12:16 to 01:12:59
213,4383,4425,01:13:03 to 01:13:45
70,4425,4501,01:13:45 to 01:15:01
213,4502,4512,01:15:02 to 01:15:12
70,4513,4591,01:15:13 to 01:16:31
