person,start,stop,formatted
340,1,86,00:00:01 to 00:01:26
343,92,229,00:01:32 to 00:03:49
343,241,398,00:04:01 to 00:06:38
343,420,762,00:07:00 to 00:12:42
253,775,846,00:12:55 to 00:14:06
253,852,978,00:14:12 to 00:16:18
269,990,1337,00:16:30 to 00:22:17
163,1352,1376,00:22:32 to 00:22:56
343,1395,1429,00:23:15 to 00:23:49
343,1435,1547,00:23:55 to 00:25:47
112,1557,1586,00:25:57 to 00:26:26
112,1592,1612,00:26:32 to 00:26:52
343,1619,1724,00:26:59 to 00:28:44
343,1737,1806,00:28:57 to 00:30:06
178,1807,1823,00:30:07 to 00:30:23
343,1826,1894,00:30:26 to 00:31:34
343,1912,1951,00:31:52 to 00:32:31
343,1968,2023,00:32:48 to 00:33:43
197,2046,2059,00:34:06 to 00:34:19
343,2059,2137,00:34:19 to 00:35:37
269,2143,2234,00:35:43 to 00:37:14
269,2240,2255,00:37:20 to 00:37:35
163,2264,2282,00:37:44 to 00:38:02
253,2284,2309,00:38:04 to 00:38:29
343,2320,2356,00:38:40 to 00:39:16
343,2376,2421,00:39:36 to 00:40:21
343,2428,2459,00:40:28 to 00:40:59
112,2465,2475,00:41:05 to 00:41:15
343,2476,2519,00:41:16 to 00:41:59
