person,start,stop,formatted
76,6,48,00:00:06 to 00:00:48
76,72,83,00:01:12 to 00:01:23
76,96,140,00:01:36 to 00:02:20
70,138,466,00:02:18 to 00:07:46
70,472,557,00:07:52 to 00:09:17
70,562,744,00:09:22 to 00:12:24
76,747,767,00:12:27 to 00:12:47
70,790,894,00:13:10 to 00:14:54
13,895,921,00:14:55 to 00:15:21
281,928,939,00:15:28 to 00:15:39
70,940,964,00:15:40 to 00:16:04
145,966,994,00:16:06 to 00:16:34
70,1019,1029,00:16:59 to 00:17:09
351,1060,1078,00:17:40 to 00:17:58
70,1079,1124,00:17:59 to 00:18:44
70,1132,1183,00:18:52 to 00:19:43
145,1187,1210,00:19:47 to 00:20:10
198,1217,1244,00:20:17 to 00:20:44
70,1244,1263,00:20:44 to 00:21:03
145,1264,1287,00:21:04 to 00:21:27
187,1292,1315,00:21:32 to 00:21:55
70,1316,1335,00:21:56 to 00:22:15
145,1348,1402,00:22:28 to 00:23:22
70,1428,1448,00:23:48 to 00:24:08
70,1453,1588,00:24:13 to 00:26:28
145,1606,1623,00:26:46 to 00:27:03
111,1630,1643,00:27:10 to 00:27:23
145,1652,1686,00:27:32 to 00:28:06
94,1699,1714,00:28:19 to 00:28:34
70,1715,1835,00:28:35 to 00:30:35
5,1840,1853,00:30:40 to 00:30:53
70,1854,1918,00:30:54 to 00:31:58
145,1919,1943,00:31:59 to 00:32:23
281,1950,1961,00:32:30 to 00:32:41
70,1963,1978,00:32:43 to 00:32:58
70,1983,1999,00:33:03 to 00:33:19
70,2009,2026,00:33:29 to 00:33:46
70,2045,2058,00:34:05 to 00:34:18
145,2102,2113,00:35:02 to 00:35:13
351,2123,2136,00:35:23 to 00:35:36
13,2142,2193,00:35:42 to 00:36:33
198,2201,2222,00:36:41 to 00:37:02
70,2226,2291,00:37:06 to 00:38:11
187,2297,2313,00:38:17 to 00:38:33
70,2315,2453,00:38:35 to 00:40:53
145,2477,2488,00:41:17 to 00:41:28
198,2493,2507,00:41:33 to 00:41:47
70,2508,2536,00:41:48 to 00:42:16
246,2542,2552,00:42:22 to 00:42:32
70,2553,2596,00:42:33 to 00:43:16
70,2610,2744,00:43:30 to 00:45:44
70,2751,2815,00:45:51 to 00:46:55
187,2820,2833,00:47:00 to 00:47:13
145,2842,2875,00:47:22 to 00:47:55
70,2879,2921,00:47:59 to 00:48:41
281,2927,2941,00:48:47 to 00:49:01
70,2941,3056,00:49:01 to 00:50:56
166,3062,3073,00:51:02 to 00:51:13
70,3074,3121,00:51:14 to 00:52:01
198,3124,3151,00:52:04 to 00:52:31
70,3155,3238,00:52:35 to 00:53:58
198,3239,3250,00:53:59 to 00:54:10
70,3251,3300,00:54:11 to 00:55:00
145,3301,3321,00:55:01 to 00:55:21
70,3358,3382,00:55:58 to 00:56:22
132,3383,3412,00:56:23 to 00:56:52
