person,start,stop,formatted
76,3,42,00:00:03 to 00:00:42
70,39,627,00:00:39 to 00:10:27
371,630,1341,00:10:30 to 00:22:21
371,1347,1383,00:22:27 to 00:23:03
70,1393,1487,00:23:13 to 00:24:47
163,1495,1510,00:24:55 to 00:25:10
70,1512,1568,00:25:12 to 00:26:08
151,1573,1591,00:26:13 to 00:26:31
70,1592,1654,00:26:32 to 00:27:34
70,1672,1724,00:27:52 to 00:28:44
116,1731,1785,00:28:51 to 00:29:45
70,1786,1873,00:29:46 to 00:31:13
61,1878,1901,00:31:18 to 00:31:41
70,1902,1961,00:31:42 to 00:32:41
16,1967,1986,00:32:47 to 00:33:06
371,1987,2044,00:33:07 to 00:34:04
11,2049,2078,00:34:09 to 00:34:38
371,2078,2180,00:34:38 to 00:36:20
62,2185,2201,00:36:25 to 00:36:41
70,2203,2265,00:36:43 to 00:37:45
70,2273,2299,00:37:53 to 00:38:19
112,2305,2335,00:38:25 to 00:38:55
343,2348,2376,00:39:08 to 00:39:36
349,2384,2405,00:39:44 to 00:40:05
371,2410,2451,00:40:10 to 00:40:51
70,2461,2476,00:41:01 to 00:41:16
76,2484,2496,00:41:24 to 00:41:36
84,2516,2538,00:41:56 to 00:42:18
70,2539,2754,00:42:19 to 00:45:54
159,2754,2780,00:45:54 to 00:46:20
371,2788,2823,00:46:28 to 00:47:03
371,2856,2914,00:47:36 to 00:48:34
159,2919,2935,00:48:39 to 00:48:55
205,2949,2962,00:49:09 to 00:49:22
371,3092,3140,00:51:32 to 00:52:20
160,3146,3178,00:52:26 to 00:52:58
112,3260,3280,00:54:20 to 00:54:40
70,3280,3347,00:54:40 to 00:55:47
62,3356,3370,00:55:56 to 00:56:10
371,3371,3399,00:56:11 to 00:56:39
61,3399,3431,00:56:39 to 00:57:11
70,3432,3550,00:57:12 to 00:59:10
11,3557,3572,00:59:17 to 00:59:32
70,3572,3650,00:59:32 to 01:00:50
59,3655,3667,01:00:55 to 01:01:07
371,3667,3701,01:01:07 to 01:01:41
59,3702,3714,01:01:42 to 01:01:54
371,3715,3756,01:01:55 to 01:02:36
163,3766,3801,01:02:46 to 01:03:21
371,3804,3883,01:03:24 to 01:04:43
371,3901,3965,01:05:01 to 01:06:05
159,3971,4001,01:06:11 to 01:06:41
371,4007,4067,01:06:47 to 01:07:47
371,4078,4111,01:07:58 to 01:08:31
258,4116,4130,01:08:36 to 01:08:50
70,4130,4173,01:08:50 to 01:09:33
112,4178,4202,01:09:38 to 01:10:02
62,4216,4234,01:10:16 to 01:10:34
252,4267,4280,01:11:07 to 01:11:20
70,4283,4360,01:11:23 to 01:12:40
84,4367,4388,01:12:47 to 01:13:08
371,4389,4549,01:13:09 to 01:15:49
159,4556,4583,01:15:56 to 01:16:23
70,4586,4701,01:16:26 to 01:18:21
159,4701,4713,01:18:21 to 01:18:33
70,4714,4741,01:18:34 to 01:19:01
