person,start,stop,formatted
137,8,21,00:00:08 to 00:00:21
133,29,47,00:00:29 to 00:00:47
134,48,1231,00:00:48 to 00:20:31
167,1242,1526,00:20:42 to 00:25:26
36,1543,1554,00:25:43 to 00:25:54
134,1570,1585,00:26:10 to 00:26:25
134,1651,1726,00:27:31 to 00:28:46
61,1730,1748,00:28:50 to 00:29:08
134,1751,1788,00:29:11 to 00:29:48
229,1792,1806,00:29:52 to 00:30:06
134,1818,1901,00:30:18 to 00:31:41
84,1908,1930,00:31:48 to 00:32:10
134,1931,1947,00:32:11 to 00:32:27
306,1954,1965,00:32:34 to 00:32:45
134,1966,2022,00:32:46 to 00:33:42
136,2031,2049,00:33:51 to 00:34:09
134,2050,2091,00:34:10 to 00:34:51
136,2092,2102,00:34:52 to 00:35:02
134,2103,2128,00:35:03 to 00:35:28
163,2133,2150,00:35:33 to 00:35:50
134,2151,2190,00:35:51 to 00:36:30
309,2196,2216,00:36:36 to 00:36:56
134,2217,2261,00:36:57 to 00:37:41
138,2269,2304,00:37:49 to 00:38:24
136,2313,2336,00:38:33 to 00:38:56
134,2339,2445,00:38:59 to 00:40:45
229,2451,2468,00:40:51 to 00:41:08
134,2472,2501,00:41:12 to 00:41:41
134,2506,2524,00:41:46 to 00:42:04
246,2551,2580,00:42:31 to 00:43:00
134,2581,2615,00:43:01 to 00:43:35
306,2621,2636,00:43:41 to 00:43:56
134,2637,2674,00:43:57 to 00:44:34
8,2700,2714,00:45:00 to 00:45:14
134,2746,2788,00:45:46 to 00:46:28
36,2808,2836,00:46:48 to 00:47:16
138,2844,2983,00:47:24 to 00:49:43
59,2989,3008,00:49:49 to 00:50:08
134,3013,3157,00:50:13 to 00:52:37
62,3164,3175,00:52:44 to 00:52:55
134,3176,3256,00:52:56 to 00:54:16
306,3263,3294,00:54:23 to 00:54:54
134,3295,3373,00:54:55 to 00:56:13
246,3379,3405,00:56:19 to 00:56:45
134,3406,3490,00:56:46 to 00:58:10
163,3498,3516,00:58:18 to 00:58:36
134,3517,3556,00:58:37 to 00:59:16
